,Movie_Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
710,Jungle,Daniel Radcliffe,Thomas Kretschmann,Alex Russell,Joel Jackson,"59,845",Action,Biography,Biography,1906640,"3,320",R
711,The Last Starfighter,Lance Guest,Robert Preston,Kay E. Kuter,Dan Mason,"44,097",Action,Sci-Fi,Sci-Fi,28733290,"3,493",PG
712,On Her Majesty's Secret Service,George Lazenby,Diana Rigg,Telly Savalas,Gabriele Ferzetti,"95,292",Action,Thriller,Thriller,22787885,"3,535",PG
713,For Your Eyes Only,Roger Moore,Carole Bouquet,Topol,Lynn-Holly Johnson,"104,617",Action,Thriller,Thriller,54837550,"3,867",PG
714,Conspiracy Theory,Mel Gibson,Julia Roberts,Patrick Stewart,Cylk Cozart,"103,731",Action,Thriller,Thriller,136982834,"3,881",R
715,The Man with the Golden Gun,Roger Moore,Christopher Lee,Britt Ekland,Maud Adams,"109,112",Action,Thriller,Thriller,20972000,"3,966",PG
716,Pete's Dragon,Bryce Dallas Howard,Robert Redford,Oakes Fegley,Oona Laurence,"60,149",Action,Comedy,Comedy,143695338,"4,129",PG
717,The Grey,Liam Neeson,Dermot Mulroney,Frank Grillo,Dallas Roberts,"257,326",Action,Drama,Drama,79781695,"4,186",R
718,Hardcore Henry,Sharlto Copley,Tim Roth,Haley Bennett,Danila Kozlovskiy,"98,718",Action,Sci-Fi,Sci-Fi,16810562,"4,202",R
719,The Finest Hours,Chris Pine,Casey Affleck,Ben Foster,Eric Bana,"68,635",Action,History,History,52099090,"4,264",PG-13
720,Hamburger Hill,Anthony Barrile,Michael Boatman,Don Cheadle,Michael Dolan,"26,772",Action,Thriller,Thriller,13839404,"4,332",R
721,Underworld: Evolution,Kate Beckinsale,Scott Speedman,Bill Nighy,Tony Curran,"204,628",Action,Thriller,Thriller,111476513,"4,366",R
722,Gangster Squad,Sean Penn,Ryan Gosling,Emma Stone,Giovanni Ribisi,"218,936",Action,Drama,Drama,105200903,"4,498",R
723,Rumble in the Bronx,Jackie Chan,Anita Mui,Françoise Yip,Bill Tung,"44,070",Action,Crime,Crime,32392047,"4,529",R
724,Harriet,Cynthia Erivo,Janelle Monáe,Leslie Odom Jr.,Joe Alwyn,"28,852",Action,Drama,Drama,43347017,"4,644",PG-13
725,Brooklyn's Finest,Richard Gere,Don Cheadle,Ethan Hawke,Wesley Snipes,"65,089",Action,Drama,Drama,44027682,N/A,R
726,Lethal Weapon 3,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo,"173,201",Action,Thriller,Thriller,321731527,N/A,R
727,Death Sentence,Kevin Bacon,John Goodman,Kelly Preston,Garrett Hedlund,"73,258",Action,Drama,Drama,16974459,N/A,R
